id,record_id,meta_key,meta_value
197,14,actual_redeem_shop,
198,14,redeem_date_time,
199,14,redeem_date_time,"2024-08-01 17:09:50"
200,14,actual_redeem_shop,"WOW FITNESS"
201,14,redeem_status,1
202,10,redeem_date_time,"2024-08-01 17:29:39"
203,10,actual_redeem_shop,XYZ
204,10,redeem_status,1
205,15,title,小姐
206,15,birth,1994
207,15,contact_date,
208,15,contact_time,
209,15,data,
210,15,filepath,noimg
211,15,agreement,1
212,15,payment_method,
213,15,payment_callback,redirect
214,15,redeem_status,0
215,15,actual_redeem_shop,
216,15,redeem_date_time,
217,16,title,小姐
218,16,birth,1986
219,16,contact_date,
220,16,contact_time,
221,16,data,
222,16,filepath,noimg
223,16,agreement,1
224,16,payment_method,
225,16,payment_callback,redirect
226,16,redeem_status,0
227,16,actual_redeem_shop,
228,16,redeem_date_time,
229,17,title,小姐
230,17,birth,1991
231,17,contact_date,
232,17,contact_time,
233,17,data,
234,17,filepath,noimg
235,17,agreement,1
236,17,payment_method,
237,17,payment_callback,redirect
238,17,redeem_status,0
239,17,actual_redeem_shop,
240,17,redeem_date_time,
241,18,title,小姐
242,18,birth,1970
243,18,contact_date,
244,18,contact_time,
245,18,data,
246,18,filepath,noimg
247,18,agreement,1
248,18,payment_method,
249,18,payment_callback,redirect
250,18,redeem_status,0
251,18,actual_redeem_shop,
252,18,redeem_date_time,
253,17,redeem_date_time,"2024-08-01 19:18:59"
254,17,actual_redeem_shop,AeriaStudio
255,17,redeem_status,1
256,18,redeem_date_time,"2024-08-01 19:19:01"
257,18,actual_redeem_shop,AeriaStudio
258,18,redeem_status,1
259,19,title,小姐
260,19,birth,1994
261,19,contact_date,
262,19,contact_time,
263,19,data,
264,19,filepath,noimg
265,19,agreement,1
266,19,payment_method,
267,19,payment_callback,redirect
268,19,redeem_status,0
269,19,actual_redeem_shop,
270,19,redeem_date_time,
271,19,redeem_date_time,"2024-08-01 19:22:38"
272,19,actual_redeem_shop,AeriaStudio
273,19,redeem_status,1
274,20,title,小姐
275,20,birth,2005
276,20,contact_date,
277,20,contact_time,
278,20,data,
279,20,filepath,noimg
280,20,agreement,1
281,20,payment_method,
282,20,payment_callback,redirect
283,20,redeem_status,0
284,20,actual_redeem_shop,
285,20,redeem_date_time,
286,20,redeem_date_time,"2024-08-01 20:01:21"
287,20,actual_redeem_shop,"WOW FITNESS"
288,20,redeem_status,1
289,21,title,小姐
290,21,birth,2004
291,21,contact_date,
292,21,contact_time,
293,21,data,
294,21,filepath,noimg
295,21,agreement,1
296,21,payment_method,
297,21,payment_callback,redirect
298,21,redeem_status,0
299,21,actual_redeem_shop,
300,21,redeem_date_time,
301,22,title,太太
302,22,birth,1993
303,22,contact_date,
304,22,contact_time,
305,22,data,
306,22,filepath,noimg
307,22,agreement,1
308,22,payment_method,
309,22,payment_callback,redirect
310,22,redeem_status,0
311,22,actual_redeem_shop,
312,22,redeem_date_time,
313,23,title,小姐
314,23,birth,1994
315,23,contact_date,
316,23,contact_time,
317,23,data,
318,23,filepath,noimg
319,23,agreement,1
320,23,payment_method,
321,23,payment_callback,redirect
322,23,redeem_status,0
323,23,actual_redeem_shop,
324,23,redeem_date_time,
325,23,redeem_date_time,"2024-08-01 21:01:56"
326,23,actual_redeem_shop,"WOW FITNESS"
327,23,redeem_status,1
328,24,title,小姐
329,24,birth,1973
330,24,contact_date,
331,24,contact_time,
332,24,data,
333,24,filepath,noimg
334,24,agreement,1
335,24,payment_method,
336,24,payment_callback,redirect
337,24,redeem_status,0
338,24,actual_redeem_shop,
339,24,redeem_date_time,
340,24,redeem_date_time,"2024-08-01 21:08:19"
341,24,actual_redeem_shop,XYZ
342,24,redeem_status,1
343,25,title,小姐
344,25,birth,1974
345,25,contact_date,
346,25,contact_time,
347,25,data,
348,25,filepath,noimg
349,25,agreement,1
350,25,payment_method,
351,25,payment_callback,redirect
352,25,redeem_status,0
353,25,actual_redeem_shop,
354,25,redeem_date_time,
355,25,redeem_date_time,"2024-08-01 21:09:19"
356,25,actual_redeem_shop,XYZ
357,25,redeem_status,1
358,26,title,太太
359,26,birth,2004
360,26,contact_date,
361,26,contact_time,
362,26,data,
363,26,filepath,noimg
364,26,agreement,1
365,26,payment_method,
366,26,payment_callback,redirect
367,26,redeem_status,0
368,26,actual_redeem_shop,
369,26,redeem_date_time,
370,26,redeem_date_time,"2024-08-01 21:10:12"
371,26,actual_redeem_shop,XYZ
372,26,redeem_status,1
373,27,title,小姐
374,27,birth,1998
375,27,contact_date,
376,27,contact_time,
377,27,data,
378,27,filepath,noimg
379,27,agreement,1
380,27,payment_method,
381,27,payment_callback,redirect
382,27,redeem_status,0
383,27,actual_redeem_shop,
384,27,redeem_date_time,
385,28,title,先生
386,28,birth,1997
387,28,contact_date,
388,28,contact_time,
389,28,data,
390,28,filepath,noimg
391,28,agreement,1
392,28,payment_method,
393,28,payment_callback,redirect
394,28,redeem_status,0
395,28,actual_redeem_shop,
396,28,redeem_date_time,
397,28,redeem_date_time,"2024-08-01 21:25:30"
398,28,actual_redeem_shop,"WOW FITNESS"
399,28,redeem_status,1
400,29,title,小姐
401,29,birth,1999
402,29,contact_date,
403,29,contact_time,
404,29,data,
405,29,filepath,noimg
406,29,agreement,1
407,29,payment_method,
408,29,payment_callback,redirect
409,29,redeem_status,0
410,29,actual_redeem_shop,
411,29,redeem_date_time,
412,29,redeem_date_time,"2024-08-01 21:36:54"
413,29,actual_redeem_shop,AeriaStudio
414,29,redeem_status,1
415,27,redeem_date_time,"2024-08-01 21:46:34"
416,27,actual_redeem_shop,AeriaStudio
417,27,redeem_status,1
418,30,title,先生
419,30,birth,1994
420,30,contact_date,
421,30,contact_time,
422,30,data,
423,30,filepath,noimg
424,30,agreement,1
425,30,payment_method,
426,30,payment_callback,redirect
427,30,redeem_status,0
428,30,actual_redeem_shop,
429,30,redeem_date_time,
430,12,redeem_date_time,"2024-08-02 10:38:21"
431,12,actual_redeem_shop,XYZ
432,12,redeem_status,1
433,31,title,小姐
434,31,birth,1985
435,31,contact_date,
436,31,contact_time,
437,31,data,
438,31,filepath,noimg
439,31,agreement,1
440,31,payment_method,
441,31,payment_callback,redirect
442,31,redeem_status,0
443,31,actual_redeem_shop,
444,31,redeem_date_time,
445,31,redeem_date_time,"2024-08-02 13:35:10"
446,31,actual_redeem_shop,"WOW FITNESS"
447,31,redeem_status,1
448,32,title,小姐
449,32,birth,1995
450,32,contact_date,
451,32,contact_time,
452,32,data,
453,32,filepath,noimg
454,32,agreement,1
455,32,payment_method,
456,32,payment_callback,redirect
457,32,redeem_status,0
458,32,actual_redeem_shop,
459,32,redeem_date_time,
460,33,title,小姐
461,33,birth,2004
462,33,contact_date,
463,33,contact_time,
464,33,data,
465,33,filepath,noimg
466,33,agreement,1
467,33,payment_method,
468,33,payment_callback,redirect
469,33,redeem_status,0
470,33,actual_redeem_shop,
471,33,redeem_date_time,
472,33,redeem_date_time,"2024-08-02 16:30:12"
473,33,actual_redeem_shop,XYZ
474,33,redeem_status,1
475,34,title,先生
476,34,birth,1985
477,34,contact_date,
478,34,contact_time,
479,34,data,
480,34,filepath,noimg
481,34,agreement,1
482,34,payment_method,
483,34,payment_callback,redirect
484,34,redeem_status,0
485,34,actual_redeem_shop,
486,34,redeem_date_time,
487,34,redeem_date_time,"2024-08-02 16:35:21"
488,34,actual_redeem_shop,XYZ
489,34,redeem_status,1
490,35,title,小姐
491,35,birth,2005
492,35,contact_date,
493,35,contact_time,
494,35,data,
495,35,filepath,noimg
496,35,agreement,1
497,35,payment_method,
498,35,payment_callback,redirect
499,35,redeem_status,0
500,35,actual_redeem_shop,
501,35,redeem_date_time,
502,35,redeem_date_time,"2024-08-03 12:02:30"
503,35,actual_redeem_shop,"WOW FITNESS"
504,35,redeem_status,1
505,36,title,小姐
506,36,birth,2005
507,36,contact_date,
508,36,contact_time,
509,36,data,
510,36,filepath,noimg
511,36,agreement,1
512,36,payment_method,
513,36,payment_callback,redirect
514,36,redeem_status,0
515,36,actual_redeem_shop,
516,36,redeem_date_time,
517,36,redeem_date_time,"2024-08-03 13:54:53"
518,36,actual_redeem_shop,XYZ
519,36,redeem_status,1
520,37,title,小姐
521,37,birth,1994
522,37,contact_date,
523,37,contact_time,
524,37,data,
525,37,filepath,noimg
526,37,agreement,1
527,37,payment_method,
528,37,payment_callback,redirect
529,37,redeem_status,0
530,37,actual_redeem_shop,
531,37,redeem_date_time,
532,38,title,小姐
533,38,birth,1995
534,38,contact_date,
535,38,contact_time,
536,38,data,
537,38,filepath,noimg
538,38,agreement,1
539,38,payment_method,
540,38,payment_callback,redirect
541,38,redeem_status,0
542,38,actual_redeem_shop,
543,38,redeem_date_time,
544,37,redeem_date_time,"2024-08-03 15:15:34"
545,37,actual_redeem_shop,"Aerial Arts Academy"
546,37,redeem_status,1
547,39,title,小姐
548,39,birth,1997
549,39,contact_date,
550,39,contact_time,
551,39,data,
552,39,filepath,noimg
553,39,agreement,1
554,39,payment_method,
555,39,payment_callback,redirect
556,39,redeem_status,0
557,39,actual_redeem_shop,
558,39,redeem_date_time,
559,39,redeem_date_time,"2024-08-03 15:57:32"
560,39,actual_redeem_shop,"WOW FITNESS"
561,39,redeem_status,1
562,40,title,小姐
563,40,birth,1998
564,40,contact_date,
565,40,contact_time,
566,40,data,
567,40,filepath,noimg
568,40,agreement,1
569,40,payment_method,
570,40,payment_callback,redirect
571,40,redeem_status,0
572,40,actual_redeem_shop,
573,40,redeem_date_time,
574,40,redeem_date_time,"2024-08-03 16:02:16"
575,40,actual_redeem_shop,"WOW FITNESS"
576,40,redeem_status,1
577,41,title,小姐
578,41,birth,1998
579,41,contact_date,
580,41,contact_time,
581,41,data,
582,41,filepath,noimg
583,41,agreement,1
584,41,payment_method,
585,41,payment_callback,redirect
586,41,redeem_status,0
587,41,actual_redeem_shop,
588,41,redeem_date_time,
589,41,redeem_date_time,"2024-08-03 16:06:38"
590,41,actual_redeem_shop,"WOW FITNESS"
591,41,redeem_status,1
592,42,title,小姐
593,42,birth,1997
594,42,contact_date,
595,42,contact_time,
596,42,data,
597,42,filepath,noimg
598,42,agreement,1
599,42,payment_method,
600,42,payment_callback,redirect
601,42,redeem_status,0
602,42,actual_redeem_shop,
603,42,redeem_date_time,
604,42,redeem_date_time,"2024-08-03 16:10:06"
605,42,actual_redeem_shop,"WOW FITNESS"
606,42,redeem_status,1
607,43,title,小姐
608,43,birth,1988
609,43,contact_date,
610,43,contact_time,
611,43,data,
612,43,filepath,noimg
613,43,agreement,1
614,43,payment_method,
615,43,payment_callback,redirect
616,43,redeem_status,0
617,43,actual_redeem_shop,
618,43,redeem_date_time,
619,43,redeem_date_time,"2024-08-03 16:30:56"
620,43,actual_redeem_shop,"WOW FITNESS"
621,43,redeem_status,1
622,44,title,小姐
623,44,birth,1976
624,44,contact_date,
625,44,contact_time,
626,44,data,
627,44,filepath,noimg
628,44,agreement,1
629,44,payment_method,
630,44,payment_callback,redirect
631,44,redeem_status,0
632,44,actual_redeem_shop,
633,44,redeem_date_time,
634,44,redeem_date_time,"2024-08-03 17:48:09"
635,44,actual_redeem_shop,"WOW FITNESS"
636,44,redeem_status,1
637,45,title,小姐
638,45,birth,1995
639,45,contact_date,
640,45,contact_time,
641,45,data,
642,45,filepath,noimg
643,45,agreement,1
644,45,payment_method,
645,45,payment_callback,redirect
646,45,redeem_status,0
647,45,actual_redeem_shop,
648,45,redeem_date_time,
649,45,redeem_date_time,"2024-08-03 18:10:40"
650,45,actual_redeem_shop,"WOW FITNESS"
651,45,redeem_status,1
652,38,redeem_date_time,"2024-08-03 19:38:53"
653,38,actual_redeem_shop,"Aerial Arts Academy"
654,38,redeem_status,1
655,46,title,先生
656,46,birth,1997
657,46,contact_date,
658,46,contact_time,
659,46,data,
660,46,filepath,noimg
661,46,agreement,1
662,46,payment_method,
663,46,payment_callback,redirect
664,46,redeem_status,0
665,46,actual_redeem_shop,
666,46,redeem_date_time,
667,46,redeem_date_time,"2024-08-04 11:52:21"
668,46,actual_redeem_shop,"WOW FITNESS"
669,46,redeem_status,1
670,47,title,小姐
671,47,birth,1994
672,47,contact_date,
673,47,contact_time,
674,47,data,
675,47,filepath,noimg
676,47,agreement,1
677,47,payment_method,
678,47,payment_callback,redirect
679,47,redeem_status,0
680,47,actual_redeem_shop,
681,47,redeem_date_time,
682,47,redeem_date_time,"2024-08-04 11:54:06"
683,47,actual_redeem_shop,"WOW FITNESS"
684,47,redeem_status,1
685,48,title,小姐
686,48,birth,1994
687,48,contact_date,
688,48,contact_time,
689,48,data,
690,48,filepath,noimg
691,48,agreement,1
692,48,payment_method,
693,48,payment_callback,redirect
694,48,redeem_status,0
695,48,actual_redeem_shop,
696,48,redeem_date_time,
697,48,redeem_date_time,"2024-08-04 12:04:29"
698,48,actual_redeem_shop,"WOW FITNESS"
699,48,redeem_status,1
700,49,title,小姐
701,49,birth,1976
702,49,contact_date,
703,49,contact_time,
704,49,data,
705,49,filepath,noimg
706,49,agreement,1
707,49,payment_method,
708,49,payment_callback,redirect
709,49,redeem_status,0
710,49,actual_redeem_shop,
711,49,redeem_date_time,
712,49,redeem_date_time,"2024-08-04 12:13:26"
713,49,actual_redeem_shop,"WOW FITNESS"
714,49,redeem_status,1
715,50,title,小姐
716,50,birth,1992
717,50,contact_date,
718,50,contact_time,
719,50,data,
720,50,filepath,noimg
721,50,agreement,1
722,50,payment_method,
723,50,payment_callback,redirect
724,50,redeem_status,0
725,50,actual_redeem_shop,
726,50,redeem_date_time,
727,50,redeem_date_time,"2024-08-04 13:15:07"
728,50,actual_redeem_shop,"WOW FITNESS"
729,50,redeem_status,1
730,51,title,小姐
731,51,birth,1996
732,51,contact_date,
733,51,contact_time,
734,51,data,
735,51,filepath,noimg
736,51,agreement,1
737,51,payment_method,
738,51,payment_callback,redirect
739,51,redeem_status,0
740,51,actual_redeem_shop,
741,51,redeem_date_time,
742,52,title,小姐
743,52,birth,1964
744,52,contact_date,
745,52,contact_time,
746,52,data,
747,52,filepath,noimg
748,52,agreement,1
749,52,payment_method,
750,52,payment_callback,redirect
751,52,redeem_status,0
752,52,actual_redeem_shop,
753,52,redeem_date_time,
754,53,title,小姐
755,53,birth,1978
756,53,contact_date,
757,53,contact_time,
758,53,data,
759,53,filepath,noimg
760,53,agreement,1
761,53,payment_method,
762,53,payment_callback,redirect
763,53,redeem_status,0
764,53,actual_redeem_shop,
765,53,redeem_date_time,
766,54,title,小姐
767,54,birth,1985
768,54,contact_date,
769,54,contact_time,
770,54,data,
771,54,filepath,noimg
772,54,agreement,1
773,54,payment_method,
774,54,payment_callback,redirect
775,54,redeem_status,0
776,54,actual_redeem_shop,
777,54,redeem_date_time,
778,55,title,太太
779,55,birth,1985
780,55,contact_date,
781,55,contact_time,
782,55,data,
783,55,filepath,noimg
784,55,agreement,1
785,55,payment_method,
786,55,payment_callback,redirect
787,55,redeem_status,0
788,55,actual_redeem_shop,
789,55,redeem_date_time,
790,56,title,小姐
791,56,birth,1975
792,56,contact_date,
793,56,contact_time,
794,56,data,
795,56,filepath,noimg
796,56,agreement,1
797,56,payment_method,
798,56,payment_callback,redirect
799,56,redeem_status,0
800,56,actual_redeem_shop,
801,56,redeem_date_time,
802,57,title,小姐
803,57,birth,1987
804,57,contact_date,
805,57,contact_time,
806,57,data,
807,57,filepath,noimg
808,57,agreement,1
809,57,payment_method,
810,57,payment_callback,redirect
811,57,redeem_status,0
812,57,actual_redeem_shop,
813,57,redeem_date_time,
814,58,title,小姐
815,58,birth,1997
816,58,contact_date,
817,58,contact_time,
818,58,data,
819,58,filepath,noimg
820,58,agreement,1
821,58,payment_method,
822,58,payment_callback,redirect
823,58,redeem_status,0
824,58,actual_redeem_shop,
825,58,redeem_date_time,
826,58,redeem_date_time,"2024-08-05 13:42:45"
827,58,actual_redeem_shop,"WOW FITNESS"
828,58,redeem_status,1
829,59,title,小姐
830,59,birth,1998
831,59,contact_date,
832,59,contact_time,
833,59,data,
834,59,filepath,noimg
835,59,agreement,1
836,59,payment_method,
837,59,payment_callback,redirect
838,59,redeem_status,0
839,59,actual_redeem_shop,
840,59,redeem_date_time,
841,59,redeem_date_time,"2024-08-05 17:05:27"
842,59,actual_redeem_shop,"Aerial Arts Academy"
843,59,redeem_status,1
844,60,title,小姐
845,60,birth,1995
846,60,contact_date,
847,60,contact_time,
848,60,data,
849,60,filepath,noimg
850,60,agreement,1
851,60,payment_method,
852,60,payment_callback,redirect
853,60,redeem_status,0
854,60,actual_redeem_shop,
855,60,redeem_date_time,
856,60,redeem_date_time,"2024-08-05 19:24:46"
857,60,actual_redeem_shop,"Aerial Arts Academy"
858,60,redeem_status,1
859,61,title,小姐
860,61,birth,1983
861,61,contact_date,
862,61,contact_time,
863,61,data,
864,61,filepath,noimg
865,61,agreement,1
866,61,payment_method,
867,61,payment_callback,redirect
868,61,redeem_status,0
869,61,actual_redeem_shop,
870,61,redeem_date_time,
871,62,title,小姐
872,62,birth,2002
873,62,contact_date,
874,62,contact_time,
875,62,data,
876,62,filepath,noimg
877,62,agreement,1
878,62,payment_method,
879,62,payment_callback,redirect
880,62,redeem_status,0
881,62,actual_redeem_shop,
882,62,redeem_date_time,
883,62,redeem_date_time,"2024-08-06 12:09:37"
884,62,actual_redeem_shop,XYZ
885,62,redeem_status,1
886,63,title,小姐
887,63,birth,1994
888,63,contact_date,
889,63,contact_time,
890,63,data,
891,63,filepath,noimg
892,63,agreement,1
893,63,payment_method,
894,63,payment_callback,redirect
895,63,redeem_status,0
896,63,actual_redeem_shop,
897,63,redeem_date_time,
898,63,redeem_date_time,"2024-08-06 22:48:23"
899,63,actual_redeem_shop,"Aerial Arts Academy"
900,63,redeem_status,1
901,64,title,小姐
902,64,birth,1984
903,64,contact_date,
904,64,contact_time,
905,64,data,
906,64,filepath,noimg
907,64,agreement,1
908,64,payment_method,
909,64,payment_callback,redirect
910,64,redeem_status,0
911,64,actual_redeem_shop,
912,64,redeem_date_time,
913,65,title,小姐
914,65,birth,1992
915,65,contact_date,
916,65,contact_time,
917,65,data,
918,65,filepath,noimg
919,65,agreement,1
920,65,payment_method,
921,65,payment_callback,redirect
922,65,redeem_status,0
923,65,actual_redeem_shop,
924,65,redeem_date_time,
925,65,redeem_date_time,"2024-08-06 22:49:03"
926,65,actual_redeem_shop,"Aerial Arts Academy"
927,65,redeem_status,1
928,64,redeem_date_time,"2024-08-06 22:54:26"
929,64,actual_redeem_shop,"Aerial Arts Academy"
930,64,redeem_status,1
931,66,title,小姐
932,66,birth,1993
933,66,contact_date,
934,66,contact_time,
935,66,data,
936,66,filepath,noimg
937,66,agreement,1
938,66,payment_method,
939,66,payment_callback,redirect
940,66,redeem_status,0
941,66,actual_redeem_shop,
942,66,redeem_date_time,
943,67,title,小姐
944,67,birth,1997
945,67,contact_date,
946,67,contact_time,
947,67,data,
948,67,filepath,noimg
949,67,agreement,1
950,67,payment_method,
951,67,payment_callback,redirect
952,67,redeem_status,0
953,67,actual_redeem_shop,
954,67,redeem_date_time,
955,68,title,小姐
956,68,birth,1999
957,68,contact_date,
958,68,contact_time,
959,68,data,
960,68,filepath,noimg
961,68,agreement,1
962,68,payment_method,
963,68,payment_callback,redirect
964,68,redeem_status,0
965,68,actual_redeem_shop,
966,68,redeem_date_time,
967,68,redeem_date_time,"2024-08-08 18:54:11"
968,68,actual_redeem_shop,XYZ
969,68,redeem_status,1
970,69,title,先生
971,69,birth,2008
972,69,contact_date,
973,69,contact_time,
974,69,data,
975,69,filepath,noimg
976,69,agreement,1
977,69,payment_method,
978,69,payment_callback,redirect
979,69,redeem_status,0
980,69,actual_redeem_shop,
981,69,redeem_date_time,
982,67,redeem_date_time,"2024-08-14 11:56:14"
983,67,actual_redeem_shop,XYZ
984,67,redeem_status,1
985,70,title,小姐
986,70,birth,1983
987,70,contact_date,
988,70,contact_time,
989,70,data,
990,70,filepath,noimg
991,70,agreement,1
992,70,payment_method,
993,70,payment_callback,redirect
994,70,redeem_status,0
995,70,actual_redeem_shop,
996,70,redeem_date_time,
997,70,redeem_date_time,"2024-08-14 20:42:18"
998,70,actual_redeem_shop,XYZ
999,70,redeem_status,1
1000,71,title,小姐
